// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	     10000	       104	       109
       100	     10000	       138	       131
      1000	     10000	       102	       315
        10	     20000	       235	       196
       100	     20000	       225	       203
      1000	     20000	       220	       342
     10000	     20000	       267	      1193
        10	     30000	       415	       307
       100	     30000	       336	       296
      1000	     30000	       355	       350
     10000	     30000	       377	       570
        10	     40000	       503	       393
       100	     40000	       467	       485
      1000	     40000	       415	       400
     10000	     40000	       416	       579
        10	     50000	       762	       513
       100	     50000	       503	       557
      1000	     50000	       721	       498
     10000	     50000	       567	       630
        10	     60000	       749	       634
       100	     60000	       608	       719
      1000	     60000	       613	       703
     10000	     60000	       621	       707
        10	     70000	       800	       719
       100	     70000	       965	       841
      1000	     70000	       768	       820
     10000	     70000	       779	       783
        10	     80000	       897	       910
       100	     80000	       868	       806
      1000	     80000	       869	       792
     10000	     80000	       830	      1167
        10	     90000	      1094	      1054
       100	     90000	       965	       887
      1000	     90000	      1009	       949
     10000	     90000	       929	      1469
        10	    100000	      1772	      1028
       100	    100000	      1500	      1091
      1000	    100000	      1634	      1005
     10000	    100000	      1489	      1253
        10	    110000	      1277	      1105
       100	    110000	      1140	      1216
      1000	    110000	      1117	      1178
     10000	    110000	      1295	      1159
        10	    120000	      1333	      1326
       100	    120000	      1263	      1217
      1000	    120000	      1214	      1185
     10000	    120000	      1398	      1288
        10	    130000	      1368	      1298
       100	    130000	      1485	      1288
      1000	    130000	      1404	      1281
     10000	    130000	      1550	      1380
        10	    140000	      1491	      1441
       100	    140000	      1446	      1387
      1000	    140000	      1605	      1401
     10000	    140000	      1590	      1451
        10	    150000	      1626	      1498
       100	    150000	      1514	      1705
      1000	    150000	      1666	      1530
     10000	    150000	      1587	      1863
        10	    160000	      1913	      1578
       100	    160000	      1611	      1594
      1000	    160000	      2011	      1658
     10000	    160000	      1707	      1958
        10	    170000	      1963	      1691
       100	    170000	      1720	      1719
      1000	    170000	      1810	      1817
     10000	    170000	      2077	      1718
        10	    180000	      1951	      1924
       100	    180000	      1821	      1806
      1000	    180000	      2019	      1813
     10000	    180000	      2342	      1940
        10	    190000	      1952	      1874
       100	    190000	      1935	      2252
      1000	    190000	      2476	      1890
     10000	    190000	      2087	      2084
        10	    200000	      2036	      2087
       100	    200000	      2063	      1993
      1000	    200000	      2200	      2000
     10000	    200000	      2355	      1994
    100000	    200000	      2588	      3260
        10	    210000	      2119	      2172
       100	    210000	      2344	      2083
      1000	    210000	      2224	      2105
     10000	    210000	      2154	      2145
    100000	    210000	      2486	      3523
        10	    220000	      2592	      2184
       100	    220000	      2436	      2177
      1000	    220000	      2286	      2200
     10000	    220000	      3026	      2293
    100000	    220000	      2578	      2813
        10	    230000	      2533	      2272
       100	    230000	      2551	      2289
      1000	    230000	      2661	      2306
     10000	    230000	      2453	      2307
    100000	    230000	      2696	      2780
        10	    240000	      2565	      2468
       100	    240000	      3229	      2414
      1000	    240000	      2511	      2410
     10000	    240000	      2626	      2342
    100000	    240000	      2798	      2962
        10	    250000	      2738	      2531
       100	    250000	      2761	      2605
      1000	    250000	      2610	      2479
     10000	    250000	      2724	      2467
    100000	    250000	      2940	      6257
        10	    260000	      2662	      2570
       100	    260000	      3803	      2582
      1000	    260000	      2658	      2568
     10000	    260000	      2688	      2508
    100000	    260000	      3070	      3264
        10	    270000	      2728	      2662
       100	    270000	      3013	      2671
      1000	    270000	      2820	      2651
     10000	    270000	      2788	      2627
    100000	    270000	      3217	      3058
        10	    280000	      2997	      2796
       100	    280000	      3100	      2717
      1000	    280000	      3562	      3028
     10000	    280000	      2941	      2694
    100000	    280000	      3272	      3110
        10	    290000	      2933	      3656
       100	    290000	      3208	      3239
      1000	    290000	      3303	      3054
     10000	    290000	      4085	      2791
    100000	    290000	      5735	      3221
        10	    300000	      3029	      2977
       100	    300000	      3961	      2968
      1000	    300000	      3218	      2948
     10000	    300000	      5050	      2884
    100000	    300000	      3624	      3302
        10	    310000	      4154	      3291
       100	    310000	      3324	      3640
      1000	    310000	      3707	      4054
     10000	    310000	      3236	      3000
    100000	    310000	      3647	      3817
        10	    320000	      3346	      3251
       100	    320000	      3573	      3208
      1000	    320000	      3239	      3237
     10000	    320000	      3438	      3093
    100000	    320000	      3752	      3380
        10	    330000	      3389	      3486
       100	    330000	      3424	      3273
      1000	    330000	      4157	      3250
     10000	    330000	      3523	      3588
    100000	    330000	      3855	      3443
        10	    340000	      3419	      3352
       100	    340000	      3913	      3790
      1000	    340000	      3486	      3347
     10000	    340000	      3605	      3288
    100000	    340000	      4041	      4178
        10	    350000	      3608	      3509
       100	    350000	      3939	      3438
      1000	    350000	      3773	      3492
     10000	    350000	      3775	      3348
    100000	    350000	      4219	      6832
        10	    360000	      3643	      3733
       100	    360000	      3994	      3592
      1000	    360000	      3709	      3563
     10000	    360000	      3710	      3444
    100000	    360000	      4549	      3713
        10	    370000	      4362	      3665
       100	    370000	      3952	      3703
      1000	    370000	      3747	      3643
     10000	    370000	      4046	      3664
    100000	    370000	      4860	      3787
        10	    380000	      4104	      3764
       100	    380000	      4010	      3764
      1000	    380000	      3856	      3789
     10000	    380000	      3919	      3852
    100000	    380000	      4561	      3741
        10	    390000	      3924	      3855
       100	    390000	      4530	      3875
      1000	    390000	      4071	      3870
     10000	    390000	      4195	      3669
    100000	    390000	      4687	      3904
        10	    400000	      4045	      3971
       100	    400000	      4011	      3950
      1000	    400000	      4124	      4053
     10000	    400000	      4182	      4074
    100000	    400000	      4696	      3921
        10	    410000	      4180	      4046
       100	    410000	      4169	      4042
      1000	    410000	      4155	      4100
     10000	    410000	      4201	      4180
    100000	    410000	      5037	      4027
        10	    420000	      4519	      4169
       100	    420000	      4566	      4130
      1000	    420000	      4256	      4150
     10000	    420000	      5293	      4000
    100000	    420000	      4950	      4038
        10	    430000	      5384	      4274
       100	    430000	      4402	      4359
      1000	    430000	      4508	      4219
     10000	    430000	      4540	      4089
    100000	    430000	      5101	      5749
        10	    440000	      4566	      4519
       100	    440000	      4437	      4512
      1000	    440000	      4462	      4328
     10000	    440000	      6466	      4312
    100000	    440000	      5380	      4266
        10	    450000	      4827	      4516
       100	    450000	      4509	      4509
      1000	    450000	      4719	      4503
     10000	    450000	      4689	      4742
    100000	    450000	      5340	      7469
        10	    460000	      4764	      4589
       100	    460000	      5015	      4515
      1000	    460000	      4639	      4556
     10000	    460000	      5140	      4750
    100000	    460000	      5483	      4756
        10	    470000	      4851	      5066
       100	    470000	      4820	      5110
      1000	    470000	      4780	      7774
     10000	    470000	      5019	      4729
    100000	    470000	      5523	      4524
        10	    480000	      7396	      4732
       100	    480000	      4891	      4772
      1000	    480000	      4992	      4944
     10000	    480000	      4914	      4487
    100000	    480000	      5640	      4645
        10	    490000	      5782	      4853
       100	    490000	      5295	      4970
      1000	    490000	      5402	      4858
     10000	    490000	      5078	      4671
    100000	    490000	      6154	      4953
        10	    500000	      6900	      4950
       100	    500000	      5591	      4999
      1000	    500000	      5608	      4961
     10000	    500000	      6250	      4716
    100000	    500000	      6454	      4563
        10	    510000	      6238	      5081
       100	    510000	      5449	      5051
      1000	    510000	      5317	      5023
     10000	    510000	      5382	      4975
    100000	    510000	      6061	      4731
        10	    520000	      5352	      5179
       100	    520000	      5533	      5168
      1000	    520000	      5265	      5205
     10000	    520000	      5546	      4974
    100000	    520000	      6235	      5194
        10	    530000	      5940	      5274
       100	    530000	      5375	      5296
      1000	    530000	      5723	      5247
     10000	    530000	      5471	      4966
    100000	    530000	      6407	      4814
        10	    540000	      6047	      5402
       100	    540000	      5869	      5462
      1000	    540000	      5445	      5330
     10000	    540000	      5643	      8416
    100000	    540000	      6349	      4841
        10	    550000	      6124	      5424
       100	    550000	      6019	      5396
      1000	    550000	      5532	      5438
     10000	    550000	      6370	      5147
    100000	    550000	      6669	      4977
        10	    560000	      6111	      5917
       100	    560000	      5811	      5560
      1000	    560000	      5684	      5709
     10000	    560000	      6005	      5327
    100000	    560000	      6635	      5060
        10	    570000	      6176	      5656
       100	    570000	      6493	      5660
      1000	    570000	      6233	      5628
     10000	    570000	      6034	      5369
    100000	    570000	      7276	      5038
        10	    580000	      7250	      5764
       100	    580000	      6026	      5933
      1000	    580000	      5953	      5759
     10000	    580000	      6038	      5478
    100000	    580000	      6849	      5095
        10	    590000	      7580	      5936
       100	    590000	      6234	      5824
      1000	    590000	      6092	      5825
     10000	    590000	      6118	      5493
    100000	    590000	      6936	      5733
        10	    600000	      6639	      5940
       100	    600000	      6163	      5951
      1000	    600000	      6177	      5938
     10000	    600000	      7127	      5627
    100000	    600000	      8534	      5431
        10	    610000	      6713	      6035
       100	    610000	      6142	      6114
      1000	    610000	      6246	      6020
     10000	    610000	      6297	      5760
    100000	    610000	      7389	      5297
        10	    620000	      6412	      6193
       100	    620000	      7188	      6288
      1000	    620000	      6297	      6145
     10000	    620000	      6355	      5935
    100000	    620000	      7497	      5463
        10	    630000	      6869	      6234
       100	    630000	      6441	      6237
      1000	    630000	      6341	      6322
     10000	    630000	      6502	      6500
    100000	    630000	      7844	      5543
        10	    640000	      6634	      6361
       100	    640000	      6548	      6300
      1000	    640000	      9760	      6321
     10000	    640000	      6560	      6147
    100000	    640000	      7666	      5582
        10	    650000	      7514	      6419
       100	    650000	      6614	      6579
      1000	    650000	      6731	      6379
     10000	    650000	      6709	      6143
    100000	    650000	      7714	      9029
        10	    660000	      7834	      6539
       100	    660000	      6698	      6536
      1000	    660000	      6913	      6517
     10000	    660000	      6759	      6111
    100000	    660000	     11259	      6743
        10	    670000	     12446	      7220
       100	    670000	      6873	      6615
      1000	    670000	      6815	      6625
     10000	    670000	      7748	      6235
    100000	    670000	      7878	      5900
        10	    680000	      7266	      6761
       100	    680000	      6849	      6767
      1000	    680000	      6918	      6811
     10000	    680000	      8170	      6726
    100000	    680000	      8095	      5892
        10	    690000	      7228	      6812
       100	    690000	      7312	      6828
      1000	    690000	      7084	      6798
     10000	    690000	      7176	      6917
    100000	    690000	      8816	      5914
        10	    700000	      7544	      6926
       100	    700000	      7064	      7157
      1000	    700000	      7088	      7192
     10000	    700000	      7424	      6671
    100000	    700000	      8295	      9083
        10	    710000	      7170	      6995
       100	    710000	      7647	      7085
      1000	    710000	      7166	      7024
     10000	    710000	      7292	      6770
    100000	    710000	      8546	      5948
        10	    720000	      7551	      7228
       100	    720000	      7307	      7017
      1000	    720000	      7359	      7097
     10000	    720000	      8263	      6684
    100000	    720000	      8504	      5993
        10	    730000	      8101	      7208
       100	    730000	      7424	      7225
      1000	    730000	      7335	      7955
     10000	    730000	      7682	      6957
    100000	    730000	      8621	      6138
        10	    740000	      7684	      7431
       100	    740000	      7466	      7684
      1000	    740000	      7493	      7333
     10000	    740000	      7638	      7003
    100000	    740000	      8805	      6104
        10	    750000	      8002	      7410
       100	    750000	      8165	      7342
      1000	    750000	      7849	      7512
     10000	    750000	      8351	      6974
    100000	    750000	      9006	     10978
        10	    760000	      8234	      7501
       100	    760000	      7896	      7753
      1000	    760000	      7642	      7711
     10000	    760000	      7901	      7287
    100000	    760000	      9044	      6435
        10	    770000	     11903	      7702
       100	    770000	      8602	      9355
      1000	    770000	      8749	      7727
     10000	    770000	      8040	      7551
    100000	    770000	     10970	      7806
        10	    780000	      8320	      7703
       100	    780000	      7862	      7888
      1000	    780000	      8013	      7822
     10000	    780000	      8217	      7543
    100000	    780000	      9254	      6383
        10	    790000	      8682	      9432
       100	    790000	      8041	      7825
      1000	    790000	      7966	     10190
     10000	    790000	     11841	      7409
    100000	    790000	      9325	      7642
        10	    800000	      8996	      7895
       100	    800000	      8073	      7974
      1000	    800000	      8136	      8182
     10000	    800000	      8213	      7685
    100000	    800000	      9660	      6562
        10	    810000	      8508	      7991
       100	    810000	      8183	      8070
      1000	    810000	      8257	      8054
     10000	    810000	      8266	      7619
    100000	    810000	      9590	      8264
        10	    820000	      8665	      8509
       100	    820000	      8501	      8102
      1000	    820000	      8524	      8275
     10000	    820000	      8571	      8398
    100000	    820000	      9698	      9740
        10	    830000	     10412	      8401
       100	    830000	      8344	     10044
      1000	    830000	      9682	      8168
     10000	    830000	      8536	      7940
    100000	    830000	     14752	      7288
        10	    840000	      8667	      8286
       100	    840000	      8550	      8312
      1000	    840000	      8856	      8355
     10000	    840000	      9716	      7728
    100000	    840000	     10336	      6902
        10	    850000	     10060	      8481
       100	    850000	      8613	      8442
      1000	    850000	     14167	      8406
     10000	    850000	      9835	      7858
    100000	    850000	     10132	      9869
        10	    860000	      9865	      8852
       100	    860000	      8773	      8565
      1000	    860000	      9520	      8603
     10000	    860000	     10022	      8050
    100000	    860000	     11369	      8234
        10	    870000	      8852	      8579
       100	    870000	      8714	      8636
